est,err,est_card,true_card,query_dur_ms
psample_2000,4.838493723849372,2390,11564,27.225494384765625
psample_2000,2.490910482280117,117608,292951,18.891572952270508
psample_2000,12.5438974909057,2151730,171536,19.440412521362305
psample_2000,53.70786516853933,1335,71700,33.46824645996094
psample_2000,73.79901632014308,17892,1320412,29.928207397460938
psample_2000,1065.857142857143,42,44766,19.449472427368164
psample_2000,67.85297501643656,12168,825635,30.312299728393555
psample_2000,34.13560564412681,10914,372556,26.719331741333008
psample_2000,2.532948170034647,568590,1440209,19.186735153198242
psample_2000,29.606498820918297,28836,853733,29.764413833618164
psample_2000,19.153167250876315,47928,917973,26.471376419067383
psample_2000,11.114961448496924,23086,256600,26.630878448486328
psample_2000,13.020122857768506,86767,1129717,22.987842559814453
psample_2000,3103.842105263158,19,58973,19.235610961914062
psample_2000,189.0,1,189,29.615163803100586
psample_2000,6.231766500277316,28848,179774,25.873184204101562
psample_2000,12.781043588479685,71005,907518,15.98358154296875
psample_2000,393.25,16,6292,19.505739212036133
psample_2000,844.0,2,1688,23.063182830810547
psample_2000,862.0,1,862,29.975175857543945
psample_2000,423.60668380462727,389,164783,19.24419403076172
psample_2000,26.156201392129415,205728,5381063,22.746801376342773
psample_2000,94.0,1,94,37.09721565246582
psample_2000,35.254584681769146,32681,927,33.4925651550293
psample_2000,485.14285714285717,7,3396,22.64118194580078
psample_2000,435.5,6,2613,29.96969223022461
psample_2000,214.0,1,214,36.98921203613281
psample_2000,492.2,10,4922,19.04463768005371
psample_2000,9998.75,4,39995,33.80298614501953
psample_2000,5.000760655410629,80194,401031,29.61254119873047
psample_2000,24.8117912259407,28835,715448,19.286155700683594
psample_2000,717.0,2,1434,19.225358963012695
psample_2000,5.8075455449540225,555056,3223513,26.45111083984375
psample_2000,559.0,1,559,33.52475166320801
psample_2000,1679.2,5,8396,22.971630096435547
psample_2000,97.0,1,97,38.52701187133789
psample_2000,8.617226189045489,241307,2079397,18.85366439819336
psample_2000,10.132058234340908,391865,3970399,15.727758407592773
psample_2000,13.382374507236872,413231,5530012,15.699148178100586
