,Dataset,Model,Mean,Median,$\alpha$
56,$DMV$,DARE(GAU),6.765,1.2109999999999999,0.8
46,$DMV$,DARE(GAU),26.746,1.2429999999999999,0.85
82,$DMV$,DARE(GAU),5.072,1.2819999999999998,0.75
98,$DMV$,DARE(transformer),17659.433,1.861,0.85
47,$DMV$,DARE(transformer),17647.075,1.931,0.8
43,$DMV$,DARE(transformer),519.9209999999999,1.96,0.75
27,$DMV+D_i^{20000}$,DARE(GAU),14.52,1.135,0.8
41,$DMV+D_i^{20000}$,DARE(GAU),7.11,1.214,0.8
40,$DMV+D_i^{20000}$,DARE(GAU),27.008000000000003,1.237,0.85
92,$DMV+D_i^{20000}$,DARE(GAU),19.368,1.2790000000000001,0.75
95,$DMV+D_i^{20000}$,DARE(transformer),388.83099999999996,1.714,0.8
23,$DMV+D_i^{20000}$,DARE(transformer),53940.244000000006,1.89,0.85
58,$DMV+D_i^{20000}$,DARE(transformer),53828.08,1.9580000000000002,0.8
102,$DMV+D_i^{20000}$,DARE(transformer),711.197,2.064,0.75
