,loss,model_loss,d_loss,val_loss
0,23.88294005393982,26.013832092285156,11.807883739471436,13.589412877645056
1,23.135416984558105,25.14857029914856,11.727545278412956,13.643291602507357
2,21.80751609802246,23.591928958892822,11.695840648242406,13.675867868303186
3,20.452522039413452,21.93984603881836,12.024355666978018,13.769963016243246
4,19.33711314201355,20.656208515167236,11.86223704474313,13.958732549691472
5,18.403221368789673,19.51755118370056,12.08868396282196,14.250189484316863
6,17.956529140472412,18.96703290939331,12.230341247149877,14.520800745796475
7,17.693357229232788,18.635994911193848,12.351741365024022,14.748701147830214
8,17.052405834197998,17.861515283584595,12.467452423913139,15.002016458077854
9,16.613848447799683,17.33722162246704,12.51473341669355,15.272523154105741
10,16.25233542919159,16.864784002304077,12.781794207436699,15.59032232739849
11,15.646655201911926,16.125797867774963,12.931513956614904,16.00717112483735
12,15.223485469818115,15.578671097755432,13.210766894476755,16.533753108693926
13,14.885647058486938,15.118361353874207,13.566933274269104,17.245175166391814
14,14.372081637382507,14.394358277320862,14.245847123009817,18.09370729680236
15,13.969894051551819,13.863598465919495,14.572234647614616,19.269738422014314
16,13.698533415794373,13.390206933021545,15.445718067032951,20.61784850837356
17,13.561936974525452,13.09387481212616,16.214289137295314,21.815508171758022
18,12.954331755638123,12.288029074668884,16.730047600609918,22.831199183639974
19,12.71172285079956,11.922109007835388,17.186200550624303,22.983751922538907
