,loss,model_loss,d_loss,val_loss
0,26.036519050598145,28.5474956035614,11.807649816785542,13.581692920413126
1,22.435957670211792,24.305726528167725,11.840599622045247,13.746804520408663
2,21.932148933410645,23.70779037475586,11.870179908616201,13.754045677940592
3,20.51540231704712,22.036640167236328,11.895048873765129,13.807536409942546
4,19.463409900665283,20.793623685836792,11.925529956817629,13.969054260465654
5,18.74365210533142,19.946046352386475,11.930085335459028,14.1654419374165
6,18.002885818481445,19.02098536491394,12.233656389372689,14.409036788237373
7,17.48122811317444,18.40440034866333,12.249918137277877,14.636997728164218
8,17.225092887878418,18.072559356689453,12.422782710620334,14.848894112639265
9,16.687366485595703,17.416058778762817,12.558108993938992,15.083589893173897
10,16.268860816955566,16.90327024459839,12.673873816217696,15.362895221619926
11,15.76376223564148,16.29093861579895,12.776427745819092,15.690428612951507
12,15.338886141777039,15.751988530158997,12.997972777911595,16.097786719785155
13,15.110867381095886,15.425734758377075,13.326618381908963,16.663546351508277
14,14.351621150970459,14.456148624420166,13.759297813688006,17.39872953224937
15,14.339357852935791,14.36832880973816,14.175187741007125,18.535504585505983
16,13.889509558677673,13.686058640480042,15.042396136692592,19.824584722644286
17,13.566113233566284,13.178078293800354,15.764978000095914,21.28025963815917
18,13.20164704322815,12.61380660533905,16.53274369239807,22.219334442873553
19,12.804242134094238,12.071751832962036,16.955020121165685,23.135049876017145
