est,err,est_card,true_card,query_dur_ms
psample_2000,1.1494242922690676,13277,11551,62.22367286682129
psample_2000,1.1846391014254674,247147,292780,61.99073791503906
psample_2000,1.2890976873882338,212656,164965,62.08491325378418
psample_2000,1.1195218567802048,80263,71694,62.35051155090332
psample_2000,1.206789522605694,1094127,1320381,62.32619285583496
psample_2000,1.1469932614209946,39029,44766,62.06178665161133
psample_2000,1.1485656094055845,718807,825597,62.26348876953125
psample_2000,1.078707712087473,345341,372522,62.18266487121582
psample_2000,1.039940520424598,1383332,1438583,62.03126907348633
psample_2000,1.2051997374012609,708305,853649,62.27755546569824
psample_2000,1.1909609226185842,770676,917845,62.177419662475586
psample_2000,1.0020854691525978,257072,256537,62.24203109741211
psample_2000,1.023249514408303,1103808,1129471,62.21628189086914
psample_2000,1.1896913455719185,49570,58973,62.03722953796387
psample_2000,37.8,5,189,62.24226951599121
psample_2000,1.1489139956137826,156399,179689,62.12878227233887
psample_2000,1.0903989049236555,989356,907334,61.9966983795166
psample_2000,1.2596596596596596,4995,6292,62.09230422973633
psample_2000,1.025473933649289,1731,1688,62.332868576049805
psample_2000,1.068445475638051,921,862,62.27898597717285
psample_2000,1.0859133024923227,151746,164783,62.0579719543457
psample_2000,1.188844573802957,4525923,5380619,62.078237533569336
psample_2000,1.5638297872340425,147,94,62.39748001098633
psample_2000,2.1887034659820284,1705,779,62.29209899902344
psample_2000,1.6024734982332156,5442,3396,62.10470199584961
psample_2000,2.824864864864865,925,2613,62.24536895751953
psample_2000,10.19047619047619,21,214,62.334537506103516
psample_2000,1.5786265745631858,7770,4922,61.960697174072266
psample_2000,1.191284663271081,33573,39995,62.619924545288086
psample_2000,1.220266945953187,328456,400804,62.28065490722656
psample_2000,1.3178471361280946,542849,715392,62.31689453125
psample_2000,2.0697350069735005,2968,1434,62.11256980895996
psample_2000,1.107764941128014,2908599,3222044,62.262773513793945
psample_2000,12.704545454545455,44,559,62.346696853637695
psample_2000,2.5969687596659448,3233,8396,62.14165687561035
psample_2000,5.388888888888889,18,97,62.38555908203125
psample_2000,1.1226374694549823,1851775,2078872,62.00361251831055
psample_2000,1.1382595412492298,3487253,3969399,62.00718879699707
psample_2000,1.118634939396079,4942667,5529040,63.77220153808594
psample_2000,2.123070232659274,9764,4599,62.18242645263672
psample_2000,33.0,1,33,62.34312057495117
psample_2000,16.0,1,16,62.38293647766113
psample_2000,1.2889095525687146,319401,411679,62.21961975097656
psample_2000,1.1404281564103411,878791,1002198,62.3173713684082
psample_2000,17.0,1,17,62.37959861755371
psample_2000,3.3472298409215577,1823,6102,62.08968162536621
psample_2000,1.2606848057036348,184023,231995,62.19792366027832
psample_2000,1.0951923076923078,7280,7973,62.22248077392578
psample_2000,40.0,1,40,62.28995323181152
psample_2000,1.238751520064856,7401,9168,62.444210052490234
psample_2000,1.873750707146898,10606,19873,62.23130226135254
psample_2000,33.0,1,33,62.00265884399414
psample_2000,1.1102001111728739,7989,7196,62.35527992248535
psample_2000,1.287039603647732,569998,733610,62.19053268432617
psample_2000,1.2032070517629407,10664,12831,62.371015548706055
psample_2000,1.1245872814033937,3656850,4112447,62.380313873291016
psample_2000,1.3054963783553473,12256,9388,62.06011772155762
psample_2000,1.121710900163071,1539821,1727234,62.180280685424805
psample_2000,1.1616356713205673,163089,189450,62.32190132141113
psample_2000,1.2,20,24,62.03937530517578
psample_2000,1.1708939183209002,79090,92606,62.30664253234863
psample_2000,2.2583668005354753,1494,3374,62.232255935668945
psample_2000,1.2719421190196598,52798,67156,61.99908256530762
psample_2000,1.1591393842632582,1282756,1486893,62.04557418823242
psample_2000,1.2572871696890764,151259,190176,62.0875358581543
psample_2000,1.0684841683558932,1918531,2049920,62.12425231933594
psample_2000,1.0462639516060321,469480,491200,62.029361724853516
psample_2000,1.2554434806877994,458622,575774,62.226057052612305
psample_2000,4.777479892761394,8910,1865,62.023162841796875
psample_2000,125.0,1,125,62.38603591918945
psample_2000,1.1588470631023822,63725,54990,62.21890449523926
psample_2000,33.5,4,134,62.35766410827637
psample_2000,1.2128448025092642,79067,95896,62.30044364929199
psample_2000,1.1293832131117252,519596,586823,62.17598915100098
psample_2000,1.069110207900816,273592,292500,61.959028244018555
psample_2000,1.0500498986905373,104166,99201,62.432289123535156
psample_2000,1.18049321657831,354246,418185,62.375783920288086
psample_2000,1.1505340948726892,917440,1055546,62.14642524719238
psample_2000,1.1264417510940734,208167,234488,62.29901313781738
psample_2000,1.2109256997279154,2713126,3285394,63.22193145751953
psample_2000,1.0252026647403483,25546,24918,62.094688415527344
psample_2000,1.017839949502442,349912,343779,61.98287010192871
psample_2000,1.2991708684583305,100949,131150,62.52932548522949
psample_2000,1.038450899031812,3754,3615,62.273502349853516
psample_2000,3.9147286821705425,387,1515,62.371253967285156
psample_2000,1.0199184803506882,13003,13262,62.29090690612793
psample_2000,1.6012624934245134,1901,3044,62.36577033996582
psample_2000,1.533676849466323,5434,8334,62.21628189086914
psample_2000,1.109760715897649,5479219,6080622,62.05248832702637
psample_2000,20.649122807017545,57,1177,62.27302551269531
psample_2000,1.8664921465968587,764,1426,62.403202056884766
psample_2000,1.1519194217334676,2747937,3165402,62.099456787109375
psample_2000,1.2844081705467845,179376,230392,62.233686447143555
psample_2000,1.129568796487996,1131206,1277775,62.23630905151367
psample_2000,1.0497409730066607,25673,26950,62.31856346130371
psample_2000,1.1693952068948839,1509293,1764960,62.03150749206543
psample_2000,1.2168997718696033,187612,228305,62.320709228515625
psample_2000,8.7,20,174,62.41583824157715
